0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/jquery.timeago.js?_=4.8.1 HTTP/1.1" 200 5811
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/jquery.ajaxfileupload.js?_=4.8.1 HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/jquery.form.js?_=4.8.1 HTTP/1.1" 200 23386
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/jquery.sammy.js?_=4.8.1 HTTP/1.1" 200 67812
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/jquery.cookie.js?_=4.8.1 HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/jquery.blockUI.js?_=4.8.1 HTTP/1.1" 200 17167
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/linker.js?_=4.8.1 HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/highlight.js?_=4.8.1 HTTP/1.1" 200 14328
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/ZeroClipboard.js?_=4.8.1 HTTP/1.1" 200 11003
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/d3.js?_=4.8.1 HTTP/1.1" 200 255209
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/lib/chosen.js?_=4.8.1 HTTP/1.1" 200 35728
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/app.js?_=4.8.1 HTTP/1.1" 200 17691
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/analysis.js?_=4.8.1 HTTP/1.1" 200 19343
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/cloud.js?_=4.8.1 HTTP/1.1" 200 19259
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/cores.js?_=4.8.1 HTTP/1.1" 200 23261
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/documents.js?_=4.8.1 HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/dataimport.js?_=4.8.1 HTTP/1.1" 200 25497
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/files.js?_=4.8.1 HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/dashboard.js?_=4.8.1 HTTP/1.1" 200 18299
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/index.js?_=4.8.1 HTTP/1.1" 200 9735
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/java-properties.js?_=4.8.1 HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/logging.js?_=4.8.1 HTTP/1.1" 200 14760
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/ping.js?_=4.8.1 HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/plugins.js?_=4.8.1 HTTP/1.1" 200 12286
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/query.js?_=4.8.1 HTTP/1.1" 200 6863
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/replication.js?_=4.8.1 HTTP/1.1" 200 16229
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/schema-browser.js?_=4.8.1 HTTP/1.1" 200 39450
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/js/scripts/threads.js?_=4.8.1 HTTP/1.1" 200 5262
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/img/loader.gif HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/img/favicon.ico?_=4.8.1 HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/admin/cores?wt=json&indexInfo=false&_=1452698325235 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/img/chosen-sprite.png HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/admin/info/system?wt=json&_=1452698325265 HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/tpl/index.html?_=1452698325293 HTTP/1.1" 200 6141
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/img/ico/server.png HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/img/ico/memory.png HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [13/Jan/2016:10:18:45 -0500] "GET /solr/img/ico/system-monitor.png HTTP/1.1" 200 547
